licensenumber,operationtype,nurserysize,greenhousesize,tradename,ownername,businessphone,streetnumber,streetname,addressline2,addressline3,city,state,zipcode,georeference,county
646459,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",R. M. PUTNEY & ASSOCIATES INC. DBA IMPACT EARTH,ROBERT PUTNEY JR,,2257,COUNTY RD 4,,,STANLEY,NY,14561,POINT (-77.10594 42.89378),ONTARIO
130240,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",JUDSONS FARM MARKET,JUDSON RICHARD,845-832-6286,3255,PLEASANT RIDGE ROAD,,,WINGDALE,NY,12594,POINT (-73.60321 41.64266),DUTCHESS
646382,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",STEVES GREENHOUSE LLC,STYLIANOS STEVE,607-746-6006,37784,STATE HIGHWAY 10,,,HAMDEN,NY,13782,POINT (-74.97263 42.21455),DELAWARE
645884,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",GRASSE RIVER HEMP,JOSEPH P EISELE,315-212-6002,6900,CR 27,,,CANTON,NY,13617,POINT (-75.20518 44.64413),ST. LAWRENCE
646169,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",OUR LITTLE GREWVE FARMS,ELIZABETH SEELEY,,2202,COUNTY RT 21,,,HERMON,NY,13652,POINT (-75.2112 44.50789),ST. LAWRENCE
644502,Nursery Stock Only,10 Acres or Less,,AUGUSTINE BROS CORP,AUGUSTINE BROPS CORP,845-338-4931,23,CORA TERRACE,,,KINGSTON,NY,12401,POINT (-73.98925 41.95507),ULSTER
466642,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",KURTZ GREENHOUSE,KURTZ MOLLIE,,2382,NEWCOMB ROAD,,,ADDISON,NY,14801,POINT (-77.30048 42.11561),STEUBEN
645000,Nursery Stock Only,10 Acres or Less,,FOREVERGREEN FARMSRUS INC,FOREVERGREEN FARMSRUS INC,607-228-3500,397,E MAINE RD,,,JOHNSON CITY,NY,13790,POINT (-75.97183 42.16505),BROOME
644964,Nursery Stock Only,11-100 Acres,,HIDDEN SPRINGS TREE FARM LLC,HIDDEN SPRINGS FARM LLC,607-525-6456,201,CADY ROAD,,,TROUPSBURG,NY,14885,POINT (-77.58955 42.01353),STEUBEN
384783,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",WILD THINGS RESCUE NURSERY,FOGLIA DAWN,518-4419823,209,BRUNDIGE ROAD,,,VALLEY FALLS,NY,12185,POINT (-73.5446 42.88359),RENSSELAER
645537,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",VAN HOUTEN FARMS LLC,JAMES AND ELIZABETH VAN HOUTEN,845-735-4689,68,SICKLETOWN ROAD,,,ORANGEBURG,NY,10962,POINT (-73.98901 41.06014),ROCKLAND
193154,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",REXCROFT FARM,REXCROFT FARM,518-821-8709,389,LEEDS-ATHENS ROAD,,,ATHENS,NY,12015,POINT (-73.83495 42.26276),GREENE
366532,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",PINE VIEW GREENHOUSE,MILLER ELI/CAROL,315-858-2089,263,DUGAN ROAD,,,RICHFIELD SPINGS,NY,13439,POINT (-75.03574 42.87631),OTSEGO
643583,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",HILL TOP GREENHOUSE,AMANDA MAST,,371,ANDERSON ROAD,,,SPRAKERS,NY,12166,POINT (-74.44206 42.89114),MONTGOMERY
555500,Nursery Stock Only,10 Acres or Less,,ALFREDO LDC,ALFREDO LDC,914-666-3950,620,ARMONK ROAD,,,MT KISCO,NY,10549,POINT (-73.73055 41.16082),WESTCHESTER
386334,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",ENGELKE FARMS AND GARDEN,PAUL ENGELKE JR,518-4784939,463,GARFIELD ROAD,,,TROY,NY,12180,POINT (-73.5983 42.72229),RENSSELAER
645552,Nursery Stock Only,10 Acres or Less,,WHISKEY HOLLOW STATION,MARLA BARTON AND KRISTEN MUNCY,315-530-8671,7496,KINGDOM ROAD,,,BALDWINSVILLE,NY,13027,POINT (-76.41854 43.13411),ONONDAGA
357104,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NORTH SHORE NATIVES,CARPENTER CHARLES E,315-675-9892,351,COOK ROAD,,,BERNHARDS BAY,NY,13028,POINT (-75.91807 43.27837),OSWEGO
643613,Nursery Stock Only,10 Acres or Less,,GAKWIYO GARDENS,"HALFTOWN, CLINT",,3203,E BAYARD ST,,,SENECA FALLS,NY,13148,POINT (-76.75498 42.91549),SENECA
645123,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ROBERT BLUNT,ROBERT BLUNT,315-841-4804,2705,STATE ROUTE 315,,,DEANSBORO,NY,13328,POINT (-75.42649 42.99443),ONEIDA
643824,Nursery Stock Only,10 Acres or Less,,HIGH BID FARM,ROBERT GEIGER,585-637-0656,550,BEADLE RD,,,BROCKPORT,NY,14420,POINT (-77.91816 43.16181),MONROE
104899,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",SAMASCOTT ORCHARDS LLC,SAMASCOTT RONALD AND GARY,518-758-9292,65,CHATHAM STREET,,,KINDERHOOK,NY,12106,POINT (-73.69338 42.40407),COLUMBIA
234472,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",COLWELLS FRM MKT&GDNCTR,COLWELL MICHAEL & VIOLET,315-376-7402,6007,STATE ROUTE 12,,,GLENFIELD,NY,13343,POINT (-75.41076 43.71868),LEWIS
312488,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",LAXTONS FLORIST&NURSERY,LAXTON DAVID,315-685-6427,2354,WEST LAKE ROAD,,,SKANEATELES,NY,13152,POINT (-76.41322 42.88501),ONONDAGA
644483,Nursery Stock Only,10 Acres or Less,,BROADVIEW GARDENS EH INC,CATHERINE WARREN,631-537-0051,85,WAINSCOTT MAIN ST,,,WAINSCOTT,NY,11975,POINT (-72.24634 40.93518),SUFFOLK
563049,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",NORMANDIE FARM,RANDALL NORMAN AND SUSAN,585-493-5614,5998,SCHOOL ROAD,,,CASTILE,NY,14427,POINT (-78.08229 42.62991),WYOMING
144069,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",A & J FARM & GREENHOUSE,JEDRZEJEK JOSEPH & ANN,716-741-2025,8600,COUNTY ROAD,,,EAST AMHERST,NY,14051,,ERIE
645879,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",CORALS CORNER AND CONES,THERESE & DAVID ERIKSEN,518-337-6643,454,COUNTY ROUTE 60,,,CAMBRIDGE,NY,12816,POINT (-73.4497 43.02311),WASHINGTON
51978,Nursery Stock Only,10 Acres or Less,,MILL POND EVGRN NUR,HASS DONALD,315-532-2665,,ONIONVILLE ROAD,,,MARTVILLE,NY,13111,POINT (-76.6249 43.28228),CAYUGA
645363,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",LESTER W. HOOVER,LESTER W. HOOVER,585-554-6962,4090,VOORHEES ROAD,,,MIDDLESEX,NY,14507,POINT (-77.17877 42.73901),YATES
646133,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",SQUARE ROOTS URBAN GROWERS INC,TOBIAS PEGGS,740-837-6687,630,FLUSHING AVENUE,,,BROOKLYN,NY,11206,POINT (-73.94822 40.7),KINGS
643810,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",JAMESPORT GREENHOUSES,HELEN E POWERS,631-722-4927,172,HERRICKS LANE,,,JAMESPORT,NY,11947,POINT (-72.57671 40.96189),SUFFOLK
645858,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NORMAN HOLTZ,NORMAN HOLTZ,607-843-9848,28,STATE STREET,,,OXFORD,NY,13830,POINT (-75.603 42.44378),CHENANGO
146547,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",OLD ORCHARD GREENHOUSE & NURSERY,MILITELLO LARRY,716-713-3429,494,COMMERCIAL STREET,,,FARNHAM,NY,14061,POINT (-79.08462 42.59298),ERIE
470897,Nursery Stock Only,11-100 Acres,,DRIFTWOOD FARMS LLC,MEZYNIESKI STEVEN & GRETCHEN,631-204-0001,35675,MAIN ROAD,,,ORIENT,NY,11957,POINT (-72.25971 41.14842),SUFFOLK
645686,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",MAJOR BLOSSOM FARM INC,LEONIDAS & PENELOPE TORNESAKIS,917-250-0626,5098,RT 17M,,,NEW HAMPTON,NY,10958,POINT (-74.42108 41.41303),ORANGE
54249,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",DICKMAN FARMS LLC,DICKMAN FARMS LLC,315-253-3030,13,ARCHIE STREET,,,AUBURN,NY,13021,POINT (-76.54087 42.9252),CAYUGA
324236,Nursery Stock Only,11-100 Acres,,VICTOR CHRISTMAS TREE FARM,FAUBEL DAVID S,585-924-2079,1619,MURRAY ROAD,,,VICTOR,NY,14564,POINT (-77.43308 42.95272),ONTARIO
644594,Nursery Stock Only,10 Acres or Less,,THE ENGLISH GARDENER LTD,JOSEPH HAN,716-833-8000,1400,KENSINGTON AVENUE,,,BUFFALO,NY,14215,POINT (-78.80424 42.94179),ERIE
551305,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",CEMETERY FLORAL COMPANY,FAMILY CORPORATION INC,914-769-2186,11,W STEVENS AVE,,,HAWTHORNE,NY,10532,POINT (-73.79436 41.09584),WESTCHESTER
645916,Nursery Stock Only,11-100 Acres,,SUJECKI FARMS & NURSERIES,JONATHAN SUJECKI,631-793-8741,3000,MIDDLE COUNTRY ROAD,,,CALVERTON,NY,11933,POINT (-72.73289 40.92565),SUFFOLK
646108,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",CROSS CREEK NURSERY INC,TERRENCE M FORAN JR,315-682-1118,8415,CAZENOVIA ROAD,,,MANLIUS,NY,13104,POINT (-75.94505 42.9844),ONONDAGA
645449,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",ZIMMERMAN FLOYD,FLOYD ZIMMERMAN,585-554-4295,4175,ROUTE 247,,,CANANDAIGUA,NY,14424,POINT (-77.21456 42.82377),ONTARIO
473590,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NATURAL IMAGES NURSERY,NATURAL IMAGES NURSERY,631-734-5976,34800,NORTH ROAD,,,PECONIC,NY,11958,,SUFFOLK
471310,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",COASTAL GREENHOUSES LLC,IVY ACRES INC,631-727-1980,1675,EDWARDS AVENUE,,,CALVERTON,NY,11933,POINT (-72.76163 40.95923),SUFFOLK
644596,Combined Nursery and Greenhouse,,"2,001-20,000 SqFt of Glass",FIG TREES AND FLOWERS,THEORDA L. MAMATAS,631-902-2022,18,FRADELOS STREET,,,PORT JEFFERSON STA,NY,11776,POINT (-73.03646 40.93207),SUFFOLK
107274,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",HAWK DANCE FARM,CREED DIANE & CLIFT DAMON,518-325-1430,362,RODMAN ROAD,,,HILLSDALE,NY,12529,POINT (-73.56517 42.20985),COLUMBIA
65555,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GARFIELD ROAD GREENHOUSE,MCINTYRE MICHELLE,716-665-6222,2713,GARFIELD ROAD,,,JAMESTOWN,NY,14701,POINT (-79.24398 42.06906),CHAUTAUQUA
352750,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",GALLETTAS GREENHOUSE,"STEVENS, MARY & WESLEY",315-343-0879,60,COUNTY ROUTE 20,,,OSWEGO,NY,13126,POINT (-76.50765 43.41063),OSWEGO
306664,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",MITCHELLS ROME PRODUCE,MITCHELL JAMES,315-337-3984,6964,SOUTH JAMES STREET,,,ROME,NY,13440,POINT (-75.47001 43.19903),ONEIDA
472466,Nursery Stock Only,11-100 Acres,,SAMS BARGAIN CENTER INC,SAMS BARGAIN CENTER INC,631-878-2889,,HEAD OF NECK ROAD,,,MANORVILLE,NY,11949,POINT (-72.80741 40.87339),SUFFOLK
143926,Nursery Stock Only,10 Acres or Less,,MARTIN PLANT FARM,MARTIN KENNETH E,716-532-2977,14466,JENNINGS ROAD,,,COLLINS,NY,14034,POINT (-78.87736 42.48413),ERIE
645274,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",BIODOME PROJECT,RYAN PETERSON AND BRANDON TRISCARL,716-489-7668,207,PINE STREET,,,JAMESTOWN,NY,14701,POINT (-79.23999 42.09599),CHAUTAUQUA
16258,Nursery Stock Only,10 Acres or Less,,ALTAMONT CTRY VALUESINC,ALTAMONT CTRY VALUESINC,518-861-8061,106,PROSPECT TERRACE,,,ALTAMONT,NY,12009,POINT (-74.03463 42.70164),ALBANY
646434,Nursery Stock Only,10 Acres or Less,,GREEN MERCHANT GARDENING AND HYDROPONICS,KEVIN PARSELS AND MATT BAGLEY,607-346-2952,130,WEST MORRIS STREET,,,BATH,NY,14810,POINT (-77.3248 42.33403),STEUBEN
514351,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",DAVENPORT FARMS,DAVENPORT BARTH AND BRUCE,845-687-0051,3411,US  HIGHWAY 209,,,STONE RIDGE,NY,12484,POINT (-74.13403 41.85821),ULSTER
645299,Nursery Stock Only,10 Acres or Less,,GARYS NURSERY,GARY HUTCHINGS,401-787-2453,186,COLEBROOK ROAD,,,GANSEVOORT,NY,12831,POINT (-73.65274 43.14049),SARATOGA
644402,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",LANDSCAPE DETAILS INCORPORATED,DERRIG MICHAEL,631-725-0018,3885,MIDDLE COUNTRY ROAD,,,CALVERTON,NY,11933,POINT (-72.75422 40.92738),SUFFOLK
644639,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",NORWHITE SPRUCE FARM LLC,ROB TAYLOR,585-309-5638,5000,COUNTY ROAD 37,,,HEMLOCK,NY,14466,POINT (-77.53254 42.78176),ONTARIO
646203,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",GROUNDWORK MARKET GARDEN INC,"MAYDA POZANTIDES, ANDERS GUNNERSEN",716-908-7396,1698,GENESEE ST,,,BUFFALO,NY,14211,POINT (-78.81812 42.9109),ERIE
347006,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",PANEKS PICKIN PATCH,PANEK KERRY,585-589-6155,13420,COUNTY HOUSE ROAD,,,ALBION,NY,14411,POINT (-78.2551 43.21869),ORLEANS
265789,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",LIESE FARM,LIESE WALLACE,585-638-8826,17100,GULF RD,,,HOLLEY,NY,14470,POINT (-78.00919 43.22926),ORLEANS
601488,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",NY BOTANICAL GARDEN THE,NY BOTANICAL GARDEN THE PROP,718-817-8043,2900,SOUTHERN BLVD,,,BRONX,NY,10458,POINT (-73.880923 40.861377),BRONX
261712,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GALLEAS TROPICAL GRNHSE,GALLEA JOSEPH A JR,716-586-3017,,2832 CLOVER STREET,,,PITTSFORD,NY,14534,POINT (-77.51679 43.09137),MONROE
644290,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",WYCKOFF,WYCKOFF TODD,607-280-1413,3795,CTY ROAD 139,,,OVID,NY,14521,POINT (-76.71325 42.66038),SENECA
644251,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GROWING FAMILY FARMS,"LOOMIS, PAUL & FLAGG, CHRISTOPHER",585-301-5926,602,PECK ROAD,,,SPENCERPORT,NY,14559,POINT (-77.79016 43.24408),MONROE
645412,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",THE FARM AT MILLERS CROSSING - SELL,CHRIS CASHEN,518-851-2331,170,ROUTE 217,,,HUDSON,NY,12534,POINT (-73.70491 42.22877),COLUMBIA
281489,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",OLD WESTBURY GDNS INC,OLD WESTBURY GARDENS INC,516-333-0048,71,OLD WESTBURY ROAD BOX 430,,,OLD WESTBURY,NY,11568,POINT (-73.60151 40.77356),NASSAU
646411,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",RUDY SHETLER,RUDY SHETLER,,1941,STATE ROUTE 26,,,ORISKANY FALLS,NY,13425,POINT (-75.48141 42.95714),ONEIDA
230270,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",SIMMONS FARM,SIMMONS SHARI,315-767-0240,10188,ST RT 12,,,COPENHAGEN,NY,13626,POINT (-75.6909 43.90325),LEWIS
456157,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",CASSIM FARMS - HATS N THINGS,CASSIM ANNE A,315-539-2951,3581,YOST ROAD,,,WATERLOO,NY,13165,POINT (-76.83916 42.85021),SENECA
,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",STONEY ACRES FARM,JEFFREY AND SUSAN SMALT,607-622-5469,7499,STATE ROUTE 415,KNIGHT SETTLEMENT RD,,BATH,NY,14810,POINT (-77.35973 42.36553),STEUBEN
646237,Nursery Stock Only,10 Acres or Less,,BAMBI BOYCE,BAMBI BOYCE,845-496-1909,255,WOODCOCK MTN RD,,,SALISBURY MILLS,NY,12577,POINT (-74.13104 41.42227),ORANGE
131086,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",MILLERTON NURSERY & GARDEN SHOP INC,MILLERTON NURSERY & GARDEN SHOP INC,518-789-3771,5600,ROUTE 22,,,MILLERTON,NY,12546,,DUTCHESS
380740,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",GOOSEBERRY FARM,SEAVER DAVID & JEAN,518-235-0632,48,WETSEL ROAD,,,TROY,NY,12182,POINT (-73.61697 42.8042),RENSSELAER
